country_name, Index_of_happiness, global_rank, available_data_date, regions
Finlandia,7.82,1,2013-2021,del Mundo
Dinamarca,7.64,2,2013-2021,del Mundo
Islandia,7.56,3,2013-2021,del Mundo
Suiza,7.51,4,2013-2021,del Mundo
Países Bajos,7.41,5,2013-2021,del Mundo
Luxemburgo,7.4,6,2013-2021,del Mundo
Suecia,7.38,7,2013-2021,del Mundo
Noruega,7.37,8,2013-2021,del Mundo
Israel,7.36,9,2013-2021,del Mundo
Nueva Zelanda,7.2,10,2013-2021,del Mundo
Australia,7.16,11,2013-2021,del Mundo
Austria,7.16,12,2013-2021,del Mundo
Irlanda,7.04,13,2013-2021,del Mundo
Alemania,7.03,14,2013-2021,del Mundo
Canadá,7.03,15,2013-2021,del Mundo
Estados Unidos,6.98,16,2013-2021,del Mundo
Reino Unido,6.94,17,2013-2021,del Mundo
República Checa,6.92,18,2013-2021,del Mundo
Bélgica,6.8,19,2013-2021,del Mundo
Francia,6.69,20,2013-2021,del Mundo
Bahrein,6.65,21,2013-2021,del Mundo
Eslovenia,6.63,22,2013-2021,del Mundo
Costa Rica,6.58,23,2013-2021,del Mundo
Emir. Árab. Uni.,6.58,24,2013-2021,del Mundo
Arabia Saudita,6.52,25,2013-2021,del Mundo
Taiwan,6.51,26,2013-2021,del Mundo
España,6.48,27,2013-2021,del Mundo
Romania,6.48,28,2013-2021,del Mundo
Singapur,6.48,29,2013-2021,del Mundo
Italia,6.47,30,2013-2021,del Mundo
Uruguay,6.47,31,2013-2021,del Mundo
Lituania,6.45,32,2013-2021,del Mundo
Malta,6.45,33,2013-2021,del Mundo
Rep. Eslovaca,6.39,34,2013-2021,del Mundo
Estonia,6.34,35,2013-2021,del Mundo
Panamá,6.31,36,2013-2021,del Mundo
Brasil,6.29,37,2013-2021,del Mundo
Guatemala,6.26,38,2013-2021,del Mundo
Kazajstán,6.23,39,2013-2021,del Mundo
Chipre,6.22,40,2013-2021,del Mundo
Letonia,6.18,41,2013-2021,del Mundo
Serbia,6.18,42,2013-2021,del Mundo
Chile,6.17,43,2013-2021,del Mundo
Nicaragua,6.16,44,2013-2021,del Mundo
Croacia,6.13,45,2013-2021,del Mundo
México,6.13,46,2013-2021,del Mundo
El Salvador,6.12,47,2013-2021,del Mundo
Polonia,6.12,48,2013-2021,del Mundo
Kuwait,6.11,49,2013-2021,del Mundo
Hungría,6.09,50,2013-2021,del Mundo
Mauricio,6.07,51,2013-2021,del Mundo
Uzbekistán,6.06,52,2013-2021,del Mundo
Japón,6.04,53,2013-2021,del Mundo
Honduras,6.02,54,2013-2021,del Mundo
Portugal,6.02,55,2013-2021,del Mundo
Argentina,5.97,56,2013-2021,del Mundo
Grecia,5.95,57,2013-2021,del Mundo
Corea del Sur,5.94,58,2013-2021,del Mundo
Filipinas,5.9,59,2013-2021,del Mundo
Tailandia,5.89,60,2013-2021,del Mundo
Rep. de Moldova,5.86,61,2013-2021,del Mundo
Jamaica,5.85,62,2013-2021,del Mundo
Kirguistán,5.83,63,2013-2021,del Mundo
Belarús,5.82,64,2013-2021,del Mundo
Colombia,5.78,65,2013-2021,del Mundo
Bosnia y Herz.,5.77,66,2013-2021,del Mundo
Mongolia,5.76,67,2013-2021,del Mundo
Rep. Dominicana,5.74,68,2013-2021,del Mundo
Malasia,5.71,69,2013-2021,del Mundo
Bolivia,5.6,70,2013-2021,del Mundo
China,5.59,71,2013-2021,del Mundo
Paraguay,5.58,72,2013-2021,del Mundo
Perú,5.56,73,2013-2021,del Mundo
Montenegro,5.55,74,2013-2021,del Mundo
Ecuador,5.53,75,2013-2021,del Mundo
Viet Nam,5.49,76,2013-2021,del Mundo
Turkmenistán,5.47,77,2013-2021,del Mundo
Rusia,5.46,78,2013-2021,del Mundo
Hong Kong,5.42,79,2013-2021,del Mundo
Armenia,5.4,80,2013-2021,del Mundo
Nepal,5.38,81,2013-2021,del Mundo
Tayikistán,5.38,82,2013-2021,del Mundo
Bulgaria,5.37,83,2013-2021,del Mundo
Libia,5.33,84,2013-2021,del Mundo
Indonesia,5.24,85,2013-2021,del Mundo
Côte d'Ivoire,5.23,86,2015-2021,del Mundo
Albania,5.2,87,2013-2021,del Mundo
Macedonia,5.2,88,2013-2021,del Mundo
Sudáfrica,5.19,89,2013-2021,del Mundo
Azerbaiyán,5.17,90,2013-2021,del Mundo
Bangladesh,5.16,91,2013-2021,del Mundo
Gambia,5.16,92,2019-2021,del Mundo
Laos,5.14,93,2013-2021,del Mundo
Argelia,5.12,94,2013-2021,del Mundo
Liberia,5.12,95,2013-2021,del Mundo
Ukraine,5.08,96,2013-2021,del Mundo
Marruecos,5.06,97,2013-2021,del Mundo
Camerún,5.05,98,2013-2021,del Mundo
Mozambique,5.05,99,2017-2021,del Mundo
Senegal,5.05,100,2013-2021,del Mundo
Níger,5,101,2013-2021,del Mundo
Georgia,4.97,102,2013-2021,del Mundo
Gabón,4.96,103,2013-2021,del Mundo
Iraq,4.94,104,2013-2021,del Mundo
Venezuela,4.93,105,2013-2021,del Mundo
Guinea,4.89,106,2013-2021,del Mundo
Irán,4.89,107,2013-2021,del Mundo
Ghana,4.87,108,2013-2021,del Mundo
Turquía,4.74,109,2013-2021,del Mundo
Burkina Faso,4.67,110,2013-2021,del Mundo
Camboya,4.64,111,2013-2021,del Mundo
Benin,4.62,112,2013-2021,del Mundo
Uganda,4.6,113,2013-2021,del Mundo
Nigeria,4.55,114,2013-2021,del Mundo
Kenya,4.54,115,2013-2021,del Mundo
Pakistán,4.52,116,2013-2021,del Mundo
Túnez,4.52,117,2013-2021,del Mundo
Malí,4.48,118,2013-2021,del Mundo
Namibia,4.46,119,2016-2021,del Mundo
Swazilandia,4.4,120,2013-2021,del Mundo
Myanmar,4.39,121,2013-2021,del Mundo
Sri Lanka,4.36,122,2013-2021,del Mundo
Madagascar,4.34,123,2013-2021,del Mundo
Egipto,4.29,124,2013-2021,del Mundo
Chad,4.25,125,2013-2021,del Mundo
Etiopía,4.24,126,2013-2021,del Mundo
Yemen,4.2,127,2013-2021,del Mundo
Jordania,4.15,128,2013-2021,del Mundo
Mauritania,4.15,129,2013-2021,del Mundo
Togo,4.11,130,2013-2021,del Mundo
India,3.78,131,2013-2021,del Mundo
Zambia,3.76,132,2013-2021,del Mundo
Malawi,3.75,133,2013-2021,del Mundo
Tanzanía,3.7,134,2013-2021,del Mundo
Sierra Leona,3.57,135,2013-2021,del Mundo
Lesotho,3.51,136,2013-2021,del Mundo
Botswana,3.47,137,2013-2021,del Mundo
Rwanda,3.27,138,2013-2021,del Mundo
Zimbabwe,3,139,2013-2021,del Mundo
Líbano,2.96,140,2013-2021,del Mundo
Afganistán,2.4,141,2013-2021,del Mundo
Finlandia,7.82,1,2013-2021,Europa
Dinamarca,7.64,2,2013-2021,Europa
Islandia,7.56,3,2013-2021,Europa
Suiza,7.51,4,2013-2021,Europa
Países Bajos,7.41,5,2013-2021,Europa
Luxemburgo,7.4,6,2013-2021,Europa
Suecia,7.38,7,2013-2021,Europa
Noruega,7.37,8,2013-2021,Europa
Austria,7.16,9,2013-2021,Europa
Irlanda,7.04,10,2013-2021,Europa
Alemania,7.03,11,2013-2021,Europa
Reino Unido,6.94,12,2013-2021,Europa
República Checa,6.92,13,2013-2021,Europa
Bélgica,6.8,14,2013-2021,Europa
Francia,6.69,15,2013-2021,Europa
Eslovenia,6.63,16,2013-2021,Europa
España,6.48,17,2013-2021,Europa
Romania,6.48,18,2013-2021,Europa
Italia,6.47,19,2013-2021,Europa
Lituania,6.45,20,2013-2021,Europa
Malta,6.45,21,2013-2021,Europa
Rep. Eslovaca,6.39,22,2013-2021,Europa
Estonia,6.34,23,2013-2021,Europa
Chipre,6.22,24,2013-2021,Europa
Letonia,6.18,25,2013-2021,Europa
Serbia,6.18,26,2013-2021,Europa
Croacia,6.13,27,2013-2021,Europa
Polonia,6.12,28,2013-2021,Europa
Hungría,6.09,29,2013-2021,Europa
Portugal,6.02,30,2013-2021,Europa
Grecia,5.95,31,2013-2021,Europa
Rep. de Moldova,5.86,32,2013-2021,Europa
Belarús,5.82,33,2013-2021,Europa
Bosnia y Herz.,5.77,34,2013-2021,Europa
Montenegro,5.55,35,2013-2021,Europa
Rusia,5.46,36,2013-2021,Europa
Bulgaria,5.37,37,2013-2021,Europa
Albania,5.2,38,2013-2021,Europa
Macedonia,5.2,39,2013-2021,Europa
Ukraine,5.08,40,2013-2021,Europa
Turquía,4.74,41,2013-2021,Europa
Israel,7.36,1,2013-2021,Asia
Bahrein,6.65,2,2013-2021,Asia
Emir. Árab. Uni.,6.58,3,2013-2021,Asia
Arabia Saudita,6.52,4,2013-2021,Asia
Taiwan,6.51,5,2013-2021,Asia
Singapur,6.48,6,2013-2021,Asia
Kazajstán,6.23,7,2013-2021,Asia
Kuwait,6.11,8,2013-2021,Asia
Uzbekistán,6.06,9,2013-2021,Asia
Japón,6.04,10,2013-2021,Asia
Corea del Sur,5.94,11,2013-2021,Asia
Filipinas,5.9,12,2013-2021,Asia
Tailandia,5.89,13,2013-2021,Asia
Kirguistán,5.83,14,2013-2021,Asia
Mongolia,5.76,15,2013-2021,Asia
Malasia,5.71,16,2013-2021,Asia
China,5.59,17,2013-2021,Asia
Viet Nam,5.49,18,2013-2021,Asia
Turkmenistán,5.47,19,2013-2021,Asia
Hong Kong,5.42,20,2013-2021,Asia
Armenia,5.4,21,2013-2021,Asia
Nepal,5.38,22,2013-2021,Asia
Tayikistán,5.38,23,2013-2021,Asia
Indonesia,5.24,24,2013-2021,Asia
Azerbaiyán,5.17,25,2013-2021,Asia
Bangladesh,5.16,26,2013-2021,Asia
Laos,5.14,27,2013-2021,Asia
Georgia,4.97,28,2013-2021,Asia
Iraq,4.94,29,2013-2021,Asia
Irán,4.89,30,2013-2021,Asia
Camboya,4.64,31,2013-2021,Asia
Pakistán,4.52,32,2013-2021,Asia
Myanmar,4.39,33,2013-2021,Asia
Sri Lanka,4.36,34,2013-2021,Asia
Yemen,4.2,35,2013-2021,Asia
Jordania,4.15,36,2013-2021,Asia
India,3.78,37,2013-2021,Asia
Líbano,2.96,38,2013-2021,Asia
Afganistán,2.4,39,2013-2021,Asia
Mauricio,6.07,1,2013-2021,África
Libia,5.33,2,2013-2021,África
Côte d'Ivoire,5.23,3,2015-2021,África
Sudáfrica,5.19,4,2013-2021,África
Gambia,5.16,5,2019-2021,África
Argelia,5.12,6,2013-2021,África
Liberia,5.12,7,2013-2021,África
Marruecos,5.06,8,2013-2021,África
Camerún,5.05,9,2013-2021,África
Mozambique,5.05,10,2017-2021,África
Senegal,5.05,11,2013-2021,África
Níger,5,12,2013-2021,África
Gabón,4.96,13,2013-2021,África
Guinea,4.89,14,2013-2021,África
Ghana,4.87,15,2013-2021,África
Burkina Faso,4.67,16,2013-2021,África
Benin,4.62,17,2013-2021,África
Uganda,4.6,18,2013-2021,África
Nigeria,4.55,19,2013-2021,África
Kenya,4.54,20,2013-2021,África
Túnez,4.52,21,2013-2021,África
Malí,4.48,22,2013-2021,África
Namibia,4.46,23,2016-2021,África
Swazilandia,4.4,24,2013-2021,África
Madagascar,4.34,25,2013-2021,África
Egipto,4.29,26,2013-2021,África
Chad,4.25,27,2013-2021,África
Etiopía,4.24,28,2013-2021,África
Mauritania,4.15,29,2013-2021,África
Togo,4.11,30,2013-2021,África
Zambia,3.76,31,2013-2021,África
Malawi,3.75,32,2013-2021,África
Tanzanía,3.7,33,2013-2021,África
Sierra Leona,3.57,34,2013-2021,África
Lesotho,3.51,35,2013-2021,África
Botswana,3.47,36,2013-2021,África
Rwanda,3.27,37,2013-2021,África
Zimbabwe,3,38,2013-2021,África
Canadá,7.03,1,2013-2021,América del Norte
Estados Unidos,6.98,2,2013-2021,América del Norte
Costa Rica,6.58,3,2013-2021,América del Norte
Panamá,6.31,4,2013-2021,América del Norte
Guatemala,6.26,5,2013-2021,América del Norte
Nicaragua,6.16,6,2013-2021,América del Norte
México,6.13,7,2013-2021,América del Norte
El Salvador,6.12,8,2013-2021,América del Norte
Honduras,6.02,9,2013-2021,América del Norte
Jamaica,5.85,10,2013-2021,América del Norte
Rep. Dominicana,5.74,11,2013-2021,América del Norte
Uruguay,6.47,1,-,América del Sur
Brasil,6.29,2,-,América del Sur
Chile,6.17,3,-,América del Sur
Argentina,5.97,4,-,América del Sur
Colombia,5.78,5,-,América del Sur
Bolivia,5.6,6,-,América del Sur
Paraguay,5.58,7,-,América del Sur
Perú,5.56,8,-,América del Sur
Ecuador,5.53,9,-,América del Sur
Venezuela,4.93,10,-,América del Sur
Nueva Zelanda,7.2,1,2013-2021,Australia
Australia,7.16,2,2013-2021,Australia
Finlandia,7.82,1,2013-2021,European union
Dinamarca,7.64,2,2013-2021,European union
Islandia,7.56,3,2013-2021,European union
Suiza,7.51,4,2013-2021,European union
Países Bajos,7.41,5,2013-2021,European union
Luxemburgo,7.4,6,2013-2021,European union
Suecia,7.38,7,2013-2021,European union
Noruega,7.37,8,2013-2021,European union
Israel,7.36,9,2013-2021,European union
Nueva Zelanda,7.2,10,2013-2021,European union
Australia,7.16,11,2013-2021,European union
Austria,7.16,12,2013-2021,European union
Irlanda,7.04,13,2013-2021,European union
Alemania,7.03,14,2013-2021,European union
Canadá,7.03,15,2013-2021,European union
Estados Unidos,6.98,16,2013-2021,European union
Reino Unido,6.94,17,2013-2021,European union
República Checa,6.92,18,2013-2021,European union
Bélgica,6.8,19,2013-2021,European union
Francia,6.69,20,2013-2021,European union
Bahrein,6.65,21,2013-2021,European union
Eslovenia,6.63,22,2013-2021,European union
Costa Rica,6.58,23,2013-2021,European union
Emir. Árab. Uni.,6.58,24,2013-2021,European union
Arabia Saudita,6.52,25,2013-2021,European union
Taiwan,6.51,26,2013-2021,European union
España,6.48,27,2013-2021,European union
Romania,6.48,28,2013-2021,European union
Singapur,6.48,29,2013-2021,European union
Italia,6.47,30,2013-2021,European union
Uruguay,6.47,31,2013-2021,European union
Lituania,6.45,32,2013-2021,European union
Malta,6.45,33,2013-2021,European union
Rep. Eslovaca,6.39,34,2013-2021,European union
Estonia,6.34,35,2013-2021,European union
Panamá,6.31,36,2013-2021,European union
Brasil,6.29,37,2013-2021,European union
Guatemala,6.26,38,2013-2021,European union
Kazajstán,6.23,39,2013-2021,European union
Chipre,6.22,40,2013-2021,European union
Letonia,6.18,41,2013-2021,European union
Serbia,6.18,42,2013-2021,European union
Chile,6.17,43,2013-2021,European union
Nicaragua,6.16,44,2013-2021,European union
Croacia,6.13,45,2013-2021,European union
México,6.13,46,2013-2021,European union
El Salvador,6.12,47,2013-2021,European union
Polonia,6.12,48,2013-2021,European union
Kuwait,6.11,49,2013-2021,European union
Hungría,6.09,50,2013-2021,European union
Mauricio,6.07,51,2013-2021,European union
Uzbekistán,6.06,52,2013-2021,European union
Japón,6.04,53,2013-2021,European union
Honduras,6.02,54,2013-2021,European union
Portugal,6.02,55,2013-2021,European union
Argentina,5.97,56,2013-2021,European union
Grecia,5.95,57,2013-2021,European union
Corea del Sur,5.94,58,2013-2021,European union
Filipinas,5.9,59,2013-2021,European union
Tailandia,5.89,60,2013-2021,European union
Rep. de Moldova,5.86,61,2013-2021,European union
Jamaica,5.85,62,2013-2021,European union
Kirguistán,5.83,63,2013-2021,European union
Belarús,5.82,64,2013-2021,European union
Colombia,5.78,65,2013-2021,European union
Bosnia y Herz.,5.77,66,2013-2021,European union
Mongolia,5.76,67,2013-2021,European union
Rep. Dominicana,5.74,68,2013-2021,European union
Malasia,5.71,69,2013-2021,European union
Bolivia,5.6,70,2013-2021,European union
China,5.59,71,2013-2021,European union
Paraguay,5.58,72,2013-2021,European union
Perú,5.56,73,2013-2021,European union
Montenegro,5.55,74,2013-2021,European union
Ecuador,5.53,75,2013-2021,European union
Viet Nam,5.49,76,2013-2021,European union
Turkmenistán,5.47,77,2013-2021,European union
Rusia,5.46,78,2013-2021,European union
Hong Kong,5.42,79,2013-2021,European union
Armenia,5.4,80,2013-2021,European union
Nepal,5.38,81,2013-2021,European union
Tayikistán,5.38,82,2013-2021,European union
Bulgaria,5.37,83,2013-2021,European union
Libia,5.33,84,2013-2021,European union
Indonesia,5.24,85,2013-2021,European union
Côte d'Ivoire,5.23,86,2015-2021,European union
Albania,5.2,87,2013-2021,European union
Macedonia,5.2,88,2013-2021,European union
Sudáfrica,5.19,89,2013-2021,European union
Azerbaiyán,5.17,90,2013-2021,European union
Bangladesh,5.16,91,2013-2021,European union
Gambia,5.16,92,2019-2021,European union
Laos,5.14,93,2013-2021,European union
Argelia,5.12,94,2013-2021,European union
Liberia,5.12,95,2013-2021,European union
Ukraine,5.08,96,2013-2021,European union
Marruecos,5.06,97,2013-2021,European union
Camerún,5.05,98,2013-2021,European union
Mozambique,5.05,99,2017-2021,European union
Senegal,5.05,100,2013-2021,European union
Níger,5,101,2013-2021,European union
Georgia,4.97,102,2013-2021,European union
Gabón,4.96,103,2013-2021,European union
Iraq,4.94,104,2013-2021,European union
Venezuela,4.93,105,2013-2021,European union
Guinea,4.89,106,2013-2021,European union
Irán,4.89,107,2013-2021,European union
Ghana,4.87,108,2013-2021,European union
Turquía,4.74,109,2013-2021,European union
Burkina Faso,4.67,110,2013-2021,European union
Camboya,4.64,111,2013-2021,European union
Benin,4.62,112,2013-2021,European union
Uganda,4.6,113,2013-2021,European union
Nigeria,4.55,114,2013-2021,European union
Kenya,4.54,115,2013-2021,European union
Pakistán,4.52,116,2013-2021,European union
Túnez,4.52,117,2013-2021,European union
Malí,4.48,118,2013-2021,European union
Namibia,4.46,119,2016-2021,European union
Swazilandia,4.4,120,2013-2021,European union
Myanmar,4.39,121,2013-2021,European union
Sri Lanka,4.36,122,2013-2021,European union
Madagascar,4.34,123,2013-2021,European union
Egipto,4.29,124,2013-2021,European union
Chad,4.25,125,2013-2021,European union
Etiopía,4.24,126,2013-2021,European union
Yemen,4.2,127,2013-2021,European union
Jordania,4.15,128,2013-2021,European union
Mauritania,4.15,129,2013-2021,European union
Togo,4.11,130,2013-2021,European union
India,3.78,131,2013-2021,European union
Zambia,3.76,132,2013-2021,European union
Malawi,3.75,133,2013-2021,European union
Tanzanía,3.7,134,2013-2021,European union
Sierra Leona,3.57,135,2013-2021,European union
Lesotho,3.51,136,2013-2021,European union
